cluster_id,size,unique_movie_count,movie_count_list,transitivity,avg_polarization,avg_leadership_insularity
0,434,966,3489.0,0.3166540350147028,0.4742965420580605,0.709919821274979
1,1,1,1.0,0.0,,0.9575978837579876
2,1,2,2.0,0.0,,0.9582187531636911
3,8,10,16.0,1.0,0.36333333333333334,0.8692570975960334
4,4,6,8.0,1.0,,0.9727656282601838
5,22,46,63.0,1.0,0.4316585588324719,0.956083380958469
6,5,2,5.0,1.0,,0.96037415149706
7,1,1,1.0,0.0,,0.960378009960533
8,1,5,5.0,0.0,,0.9587888390007191
9,1,1,1.0,0.0,,0.9603248511703837
10,1,2,2.0,0.0,,0.9591533622422049
11,15,12,20.0,1.0,0.43333333333333335,0.9731689289409258
12,1,1,1.0,0.0,,0.9580355723488979
13,1,2,2.0,0.0,,0.9597052328892522
14,1,3,3.0,0.0,,0.9580458808857056
15,6,2,6.0,1.0,,0.9592592587833267
16,3,7,8.0,0.0,0.0,0.9557893805086575
17,4,1,4.0,1.0,,0.9579583733127337
18,1,3,3.0,0.0,,0.958469182202435
19,3,3,4.0,0.0,0.16666666666666663,0.8615855427421071
20,1,1,1.0,0.0,,0.9588182458086748
21,5,1,5.0,1.0,,0.9599387164577495
22,4,9,12.0,1.0,0.17673611111111112,1.1445793985887083
23,5,3,5.0,1.0,,0.9591260071979639
24,5,3,6.0,1.0,0.09047619047619049,0.7305518157534638
25,1,1,1.0,0.0,,0.9605616240292466
26,5,3,5.0,1.0,,0.9599437381847457
27,1,1,1.0,0.0,,0.9606648997711297
28,1,1,1.0,0.0,,0.9596898047066662
29,1,2,2.0,0.0,,0.9598896557662183
30,1,1,1.0,0.0,,0.9582469967985392
31,3,1,3.0,1.0,,0.9601354666010725
32,1,1,1.0,0.0,,0.9605218961093377
33,1,4,4.0,0.0,,0.9580953592518522
34,1,1,1.0,0.0,,0.9596784403348889
35,6,3,6.0,1.0,,0.9600777674443323
36,4,3,4.0,1.0,,0.9577508766606891
37,1,2,2.0,0.0,,0.9570891383924335
38,1,3,3.0,0.0,,0.9571604539881308
39,6,6,9.0,1.0,0.33333333333333337,0.9637831767307675
40,1,1,1.0,0.0,,0.9588052203884592
41,1,2,2.0,0.0,,0.9585990727530392
42,1,1,1.0,0.0,,0.9597376149805329
43,1,1,1.0,0.0,,0.9601423572829012
44,3,2,3.0,1.0,,0.9582807093034402
45,1,2,2.0,0.0,,0.9574975792304897
46,1,1,1.0,0.0,,0.9604781400756863
47,7,5,7.0,1.0,,0.9597353788749164
48,1,1,1.0,0.0,,0.9602835855258597
49,7,4,9.0,1.0,,0.8828015294972631
50,1,1,1.0,0.0,,0.9596898047066662
51,3,7,8.0,1.0,0.16666666666666663,0.9603984418164428
52,2,1,2.0,0.0,,0.9599030315240548
53,4,2,4.0,1.0,,0.9578726109688912
54,2,1,2.0,0.0,,0.9594596324397164
55,3,3,3.0,1.0,,0.9598189326603052
56,1,2,2.0,0.0,,0.9577141751297317
57,1,1,1.0,0.0,,0.9595454808545538
58,1,2,2.0,0.0,,0.9605896578522216
59,4,3,4.0,1.0,,0.9581062978012509
60,1,1,1.0,0.0,,0.9586931154552568
61,1,1,1.0,0.0,,0.9603101982894585
62,1,1,1.0,0.0,,0.9581466299680811
63,1,2,2.0,0.0,,0.9596770483527584
64,1,2,2.0,0.0,,0.9579391716822332
65,3,1,3.0,1.0,,0.0
66,1,1,1.0,0.0,,0.9582419848011047
67,1,2,2.0,0.0,,0.9576184603816592
68,2,2,2.0,0.0,,0.9595433161063468
69,2,3,4.0,0.0,,0.9585947660132258
70,1,1,1.0,0.0,,0.9588906698443374
71,1,2,2.0,0.0,,0.9587306121755519
72,1,2,2.0,0.0,,0.9589002455537334
73,5,7,9.0,1.0,0.2555555555555556,0.9760926330112133
74,1,1,1.0,0.0,,0.9604224069929744
75,1,6,6.0,0.0,,0.9571130042213732
76,1,2,2.0,0.0,,0.959075735401674
77,1,2,2.0,0.0,,0.9584516248706907
78,3,2,3.0,1.0,,0.959197003375109
79,1,1,1.0,0.0,,0.9584236669001972
80,5,4,7.0,1.0,0.18571428571428572,0.9374956317049716
81,2,2,2.0,0.0,,0.9600728226285941
82,1,4,4.0,0.0,,0.9595229772647567
83,1,1,1.0,0.0,,0.9585836378335957
84,4,2,4.0,1.0,,0.9589904163341746
85,1,1,1.0,0.0,,0.9593927426440096
86,2,2,2.0,0.0,,0.9587227494919704
87,1,2,2.0,0.0,,0.958269547227294
88,2,3,3.0,0.0,-0.25,1.070278894244476
89,2,2,2.0,0.0,,0.9591140795400995
90,1,2,2.0,0.0,,0.95817392028927
91,1,1,1.0,0.0,,0.9580610274165592
92,1,3,3.0,0.0,,0.95901963750507
93,1,1,1.0,0.0,,0.9592610889897744
94,1,1,1.0,0.0,,0.95910011308105
95,1,2,2.0,0.0,,0.9599585846191443
96,1,1,1.0,0.0,,0.9579359079430001
97,6,4,7.0,1.0,0.3333333333333333,0.9601101689815872
98,3,2,3.0,1.0,,0.9596494542098112
99,1,1,1.0,0.0,,0.9594421331014699
100,1,1,1.0,0.0,,0.960378009960533
101,4,3,4.0,1.0,,0.9585452603602712
102,1,3,3.0,0.0,,0.95726788988681
103,1,4,4.0,0.0,,0.9592587068585782
104,1,3,3.0,0.0,,0.9583092718267322
105,1,1,1.0,0.0,,0.9580850430037223
106,1,1,1.0,0.0,,0.9595123516303586
107,1,2,2.0,0.0,,0.9600160927628546
108,1,1,1.0,0.0,,0.9602864580858923
109,3,4,5.0,1.0,,0.8889887608547399
110,1,1,1.0,0.0,,0.9594777714116677
111,1,1,1.0,0.0,,0.9604334871611048
112,1,1,1.0,0.0,,0.9593053122570608
113,1,3,3.0,0.0,,0.957210964098586
114,5,3,6.0,1.0,,0.9580721428175657
115,2,3,3.0,0.0,,0.9592576309888659
116,1,1,1.0,0.0,,0.9601964669729686
117,1,1,1.0,0.0,,0.9597506160564873
118,1,1,1.0,0.0,,0.957558396571131
119,1,1,1.0,0.0,,0.9596898047066662
120,2,2,3.0,0.0,,0.9944167395157454
121,1,1,1.0,0.0,,0.9595974674413882
122,1,1,1.0,0.0,,0.9599513377544273
123,1,2,2.0,0.0,,0.9589895289709113
124,1,1,1.0,0.0,,0.9598537579429555
125,1,1,1.0,0.0,,0.9584047462179907
126,1,1,1.0,0.0,,0.9601310559164781
127,1,1,1.0,0.0,,0.9603822456371637
128,1,1,1.0,0.0,,0.960378009960533
129,1,1,1.0,0.0,,0.960212598011473
130,1,2,2.0,0.0,,0.9596533657520186
131,1,4,4.0,0.0,,0.9584076290659365
132,2,2,2.0,0.0,,0.0
133,1,3,3.0,0.0,,0.9599519722714178
134,2,2,2.0,0.0,,0.9582724089897159
135,1,1,1.0,0.0,,0.9590484959333467
136,3,5,5.0,1.0,0.08333333333333331,0.9606985338825532
137,1,1,1.0,0.0,,0.957703976497202
138,1,1,1.0,0.0,,0.9590125260157126
139,1,1,1.0,0.0,,0.9599165847764388
140,1,2,2.0,0.0,,0.9595668920039699
141,1,1,1.0,0.0,,0.959075150046445
142,1,1,1.0,0.0,,0.9593255367905933
143,1,3,3.0,0.0,,0.9595837035861193
144,1,1,1.0,0.0,,0.9603883254779958
145,1,1,1.0,0.0,,0.9593927426440096
146,1,3,3.0,0.0,,0.9600339340169627
147,3,3,3.0,0.0,0.16666666666666663,0.8806475543859952
148,2,2,2.0,0.0,,0.9588350978091774
149,2,2,2.0,0.0,,0.0
150,1,1,1.0,0.0,,0.9580281640648557
151,1,3,3.0,0.0,,0.9576385482290368
152,1,1,1.0,0.0,,0.9588209579629313
153,1,1,1.0,0.0,,0.9586544128134629
154,1,1,1.0,0.0,,0.9598813841971651
155,1,5,5.0,0.0,,0.958210946763897
156,1,4,4.0,0.0,,0.9579359821482248
157,1,1,1.0,0.0,,0.9594614687186663
158,2,1,2.0,0.0,,0.9582315601407974
159,1,1,1.0,0.0,,0.9605488527669355
160,1,1,1.0,0.0,,0.9603618402873922
161,1,1,1.0,0.0,,0.959466871573409
162,1,1,1.0,0.0,,0.9589582515269124
163,1,1,1.0,0.0,,0.9580379810556163
164,2,2,2.0,0.0,,0.0
165,4,3,5.0,1.0,0.25,0.9608840613570154
166,1,1,1.0,0.0,,0.9595111118192494
167,2,2,2.0,0.0,,0.0
168,1,2,2.0,0.0,,0.9582315601407974
169,2,1,2.0,0.0,,0.9593801021766383
170,2,1,2.0,0.0,,0.0
171,2,2,2.0,0.0,,0.9587275872187978
172,1,3,3.0,0.0,,0.9597964918955594
173,1,1,1.0,0.0,,0.9582724089897159
174,1,1,1.0,0.0,,0.9594421331014699
175,1,1,1.0,0.0,,0.9605443156883536
176,2,2,2.0,0.0,,0.9582098596604643
177,4,4,5.0,1.0,,0.9606056514910208
178,1,1,1.0,0.0,,0.9585989018451881
179,1,1,1.0,0.0,,0.9590729010354306
180,2,1,2.0,0.0,,0.0
181,1,1,1.0,0.0,,0.9596097393622879
182,1,1,1.0,0.0,,0.9586654456385079
