vertex_id,vertex_name,type
0,Aftersun,movie
1,Joker,movie
2,Puss in Boots: The Last Wish,movie
3,The Banshees of Inisherin,movie
4,Everything Everywhere All at Once,movie
5,Parasite,movie
6,Nope,movie
7,Thor: Love and Thunder,movie
8,The Menu,movie
9,Dune,movie
10,Midsommar,movie
11,Morbius,movie
12,The Batman,movie
13,The Lighthouse,movie
14,Little Women,movie
15,Avatar: The Way of Water,movie
16,Don't Worry Darling,movie
17,Spider-Man: No Way Home,movie
18,The Power of the Dog,movie
19,Elvis,movie
20,Ant-Man and the Wasp: Quantumania,movie
21,X,movie
22,Turning Red,movie
23,Luca,movie
24,The Florida Project,movie
25,Spencer,movie
26,Doctor Strange in the Multiverse of Madness,movie
27,The Northman,movie
28,American Psycho,movie
29,Donâ??t Worry Darling,movie
30,The Worst Person in the World,movie
31,Men,movie
32,Jojo Rabbit,movie
33,Bodies Bodies Bodies,movie
34,TÃR,movie
35,Shang-Chi and the Legend of the Ten Rings,movie
36,Barbarian,movie
37,Get Out,movie
38,Whiplash,movie
39,Fresh,movie
40,Encanto,movie
41,Fight Club,movie
42,Glass Onion: A Knives Out Mystery,movie
43,Knives Out,movie
44,Jurassic World Dominion,movie
45,Donâ??t Look Up,movie
46,Bones and All,movie
47,Sound of Metal,movie
48,Squid Game,movie
49,Pride & Prejudice,movie
50,Not Okay,movie
51,My Policeman,movie
52,Babylon,movie
53,My Neighbor Totoro,movie
54,Top Gun: Maverick,movie
55,Donnie Darko,movie
56,Dead Poets Society,movie
57,Scream VI,movie
58,Pearl,movie
59,Raw,movie
60,The Social Network,movie
61,Scream,movie
62,The Truman Show,movie
63,Portrait of a Lady on Fire,movie
64,Last Night in Soho,movie
65,Blonde,movie
66,Se 6  en,movie
67,The Green Knight,movie
68,La La Land,movie
69,Top Gun,movie
70,Nobody,movie
71,Uncut Gems,movie
72,Call Me by Your Name,movie
73,Star Wars: The Rise of Skywalker,movie
74,Wonder Woman 1984,movie
75,"tick, tick...BOOM!",movie
76,Cinderella,movie
77,Bullet Train,movie
78,Little Miss Sunshine,movie
79,Gone Girl,movie
80,Black Swan,movie
81,Emma.,movie
82,Minions: The Rise of Gru,movie
83,Juno,movie
84,The Suicide Squad,movie
85,"I, Tonya",movie
86,Brokeback Mountain,movie
87,10 Things I Hate About You,movie
88,West Side Story,movie
89,The Handmaiden,movie
90,Tenet,movie
91,Eternal Sunshine of the Spotless Mind,movie
92,The Black Phone,movie
93,Hereditary,movie
94,The Grand Budapest Hotel,movie
95,I'm Thinking of Ending Things,movie
96,Lightyear,movie
97,Licorice Pizza,movie
98,Do Revenge,movie
99,Jenniferâ??s Body,movie
100,Chungking Express,movie
101,Before Sunrise,movie
102,Guillermo del Toroâ??s Pinocchio,movie
103,The Texas Chain Saw Massacre,movie
104,Howl's Moving Castle,movie
105,M3GAN,movie
106,Triangle of Sadness,movie
107,But I'm a Cheerleader,movie
108,Cocaine Bear,movie
109,The Queenâ??s Gambit,movie
110,No Time to Die,movie
111,See How They Run,movie
112,Shiva Baby,movie
113,,movie
114,The Fabelmans,movie
115,Don't Look Up,movie
116,Zodiac,movie
117,I Care a Lot,movie
118,Black Adam,movie
119,Eternals,movie
120,What We Do in the Shadows,movie
121,Titane,movie
122,Persuasion,movie
123,Dear Evan Hansen,movie
124,The Witch,movie
125,Harry Potter and the Prisoner of Azkaban,movie
126,The Tragedy of Macbeth,movie
127,Inglourious Basterds,movie
128,Before Sunset,movie
129,Moonlight,movie
130,The Favourite,movie
131,The House,movie
132,Guillermo del Toro's Pinocchio,movie
133,Rear Window,movie
134,"Girl, Interrupted",movie
135,Halloween Ends,movie
136,Moon Knight,movie
137,Arrival,movie
138,Black Widow,movie
139,Harry Potter 20th Anniversary: Return to Hogwarts,movie
140,Suspiria,movie
141,Scream 2,movie
142,Space Jam: A New Legacy,movie
143,The Mitchells vs. The Machines,movie
