Unnamed: 0,vertex_id,vertex_name,type,movie_str_url
0,0,Aftersun,movie,Aftersun
1,1,Joker,movie,Joker
2,2,Puss in Boots: The Last Wish,movie,Puss+in+Boots+The+Last+Wish
3,3,The Banshees of Inisherin,movie,The+Banshees+of+Inisherin
4,4,Everything Everywhere All at Once,movie,Everything+Everywhere+All+at+Once
5,5,Parasite,movie,Parasite
6,6,Nope,movie,Nope
7,7,Thor: Love and Thunder,movie,Thor+Love+and+Thunder
8,8,The Menu,movie,The+Menu
9,9,Dune,movie,Dune
10,10,Midsommar,movie,Midsommar
11,11,Morbius,movie,Morbius
12,12,The Batman,movie,The+Batman
13,13,The Lighthouse,movie,The+Lighthouse
14,14,Little Women,movie,Little+Women
15,15,Avatar: The Way of Water,movie,Avatar+The+Way+of+Water
16,16,Don't Worry Darling,movie,Don't+Worry+Darling
17,17,Spider-Man: No Way Home,movie,Spider-Man+No+Way+Home
18,18,The Power of the Dog,movie,The+Power+of+the+Dog
19,19,Elvis,movie,Elvis
20,20,Ant-Man and the Wasp: Quantumania,movie,Ant-Man+and+the+Wasp+Quantumania
21,21,X,movie,X
22,22,Turning Red,movie,Turning+Red
23,23,Luca,movie,Luca
24,24,The Florida Project,movie,The+Florida+Project
25,25,Spencer,movie,Spencer
26,26,Doctor Strange in the Multiverse of Madness,movie,Doctor+Strange+in+the+Multiverse+of+Madness
27,27,The Northman,movie,The+Northman
28,28,American Psycho,movie,American+Psycho
29,29,Dont Worry Darling,movie,Dont+Worry+Darling
30,30,The Worst Person in the World,movie,The+Worst+Person+in+the+World
31,31,Men,movie,Men
32,32,Jojo Rabbit,movie,Jojo+Rabbit
33,33,Bodies Bodies Bodies,movie,Bodies+Bodies+Bodies
34,34,TÃÂR,movie,TçR
35,35,Shang-Chi and the Legend of the Ten Rings,movie,Shang-Chi+and+the+Legend+of+the+Ten+Rings
36,36,Barbarian,movie,Barbarian
37,37,Get Out,movie,Get+Out
38,38,Whiplash,movie,Whiplash
39,39,Fresh,movie,Fresh
40,40,Encanto,movie,Encanto
41,41,Fight Club,movie,Fight+Club
42,42,Glass Onion: A Knives Out Mystery,movie,Glass+Onion+A+Knives+Out+Mystery
43,43,Knives Out,movie,Knives+Out
44,44,Jurassic World Dominion,movie,Jurassic+World+Dominion
45,45,Dont Look Up,movie,Dont+Look+Up
46,46,Bones and All,movie,Bones+and+All
47,47,Sound of Metal,movie,Sound+of+Metal
48,48,Squid Game,movie,Squid+Game
49,49,Pride & Prejudice,movie,Pride+&+Prejudice
50,50,Not Okay,movie,Not+Okay
51,51,My Policeman,movie,My+Policeman
52,52,Babylon,movie,Babylon
53,53,My Neighbor Totoro,movie,My+Neighbor+Totoro
54,54,Top Gun: Maverick,movie,Top+Gun+Maverick
55,55,Donnie Darko,movie,Donnie+Darko
56,56,Dead Poets Society,movie,Dead+Poets+Society
57,57,Scream VI,movie,Scream+VI
58,58,Pearl,movie,Pearl
59,59,Raw,movie,Raw
60,60,The Social Network,movie,The+Social+Network
61,61,Scream,movie,Scream
62,62,The Truman Show,movie,The+Truman+Show
63,63,Portrait of a Lady on Fire,movie,Portrait+of+a+Lady+on+Fire
64,64,Last Night in Soho,movie,Last+Night+in+Soho
65,65,Blonde,movie,Blonde
66,66,Se 6  en,movie,Se7en
67,67,The Green Knight,movie,The+Green+Knight
68,68,La La Land,movie,La+La+Land
69,69,Top Gun,movie,Top+Gun
70,70,Nobody,movie,Nobody
71,71,Uncut Gems,movie,Uncut+Gems
72,72,Call Me by Your Name,movie,Call+Me+by+Your+Name
73,73,Star Wars: The Rise of Skywalker,movie,Star+Wars+The+Rise+of+Skywalker
74,74,Wonder Woman 1984,movie,Wonder+Woman+1984
75,75,"tick, tick...BOOM!",movie,tick+tick+BOOM!
76,76,Cinderella,movie,Cinderella
77,77,Bullet Train,movie,Bullet+Train
78,78,Little Miss Sunshine,movie,Little+Miss+Sunshine
79,79,Gone Girl,movie,Gone+Girl
80,80,Black Swan,movie,Black+Swan
81,81,Emma.,movie,Emma.
82,82,Minions: The Rise of Gru,movie,Minions+The+Rise+of+Gru
83,83,Juno,movie,Juno
84,84,The Suicide Squad,movie,The+Suicide+Squad
85,85,"I, Tonya",movie,I+Tonya
86,86,Brokeback Mountain,movie,Brokeback+Mountain
87,87,10 Things I Hate About You,movie,10+Things+I+Hate+About+You
88,88,West Side Story,movie,West+Side+Story
89,89,The Handmaiden,movie,The+Handmaiden
90,90,Tenet,movie,Tenet
91,91,Eternal Sunshine of the Spotless Mind,movie,Eternal+Sunshine+of+the+Spotless+Mind
92,92,The Black Phone,movie,The+Black+Phone
93,93,Hereditary,movie,Hereditary
94,94,The Grand Budapest Hotel,movie,The+Grand+Budapest+Hotel
95,95,I'm Thinking of Ending Things,movie,I'm+Thinking+of+Ending+Things
96,96,Lightyear,movie,Lightyear
97,97,Licorice Pizza,movie,Licorice+Pizza
98,98,Do Revenge,movie,Do+Revenge
99,99,Jennifers Body,movie,Jennifers+Body
100,100,Chungking Express,movie,Chungking+Express
101,101,Before Sunrise,movie,Before+Sunrise
102,102,Guillermo del Toros Pinocchio,movie,Guillermo+del+Toros+Pinocchio
103,103,The Texas Chain Saw Massacre,movie,The+Texas+Chain+Saw+Massacre
104,104,Howl's Moving Castle,movie,Howl's+Moving+Castle
105,105,M3GAN,movie,M3GAN
106,106,Triangle of Sadness,movie,Triangle+of+Sadness
107,107,But I'm a Cheerleader,movie,But+I'm+a+Cheerleader
108,108,Cocaine Bear,movie,Cocaine+Bear
109,109,The Queens Gambit,movie,The+Queens+Gambit
110,110,No Time to Die,movie,No+Time+to+Die
111,111,See How They Run,movie,See+How+They+Run
112,112,Shiva Baby,movie,Shiva+Baby
113,113,,movie,
114,114,The Fabelmans,movie,The+Fabelmans
115,115,Don't Look Up,movie,Don't+Look+Up
116,116,Zodiac,movie,Zodiac
117,117,I Care a Lot,movie,I+Care+a+Lot
118,118,Black Adam,movie,Black+Adam
119,119,Eternals,movie,Eternals
120,120,What We Do in the Shadows,movie,What+We+Do+in+the+Shadows
121,121,Titane,movie,Titane
122,122,Persuasion,movie,Persuasion
123,123,Dear Evan Hansen,movie,Dear+Evan+Hansen
124,124,The Witch,movie,The+Witch
125,125,Harry Potter and the Prisoner of Azkaban,movie,Harry+Potter+and+the+Prisoner+of+Azkaban
126,126,The Tragedy of Macbeth,movie,The+Tragedy+of+Macbeth
127,127,Inglourious Basterds,movie,Inglourious+Basterds
128,128,Before Sunset,movie,Before+Sunset
129,129,Moonlight,movie,Moonlight
